"0) Number","1) Category","2) Name of the tour","3) Locations","4) Short description","5) Primary country","6) Secondary country","7) Third country"
"50","African Adventures","Exceptional Kenya and Tanzania","Maasai Mara, Serengeti, Ngorongoro Crater","East Africa safari combining Kenya and Tanzania's finest national parks with luxury lodges and camps for an unforgettable wildlife experience.","Kenya","Tanzania","NA"
"51","African Adventures","Tanzania Uncovered","Ruaha National Park, Pemba Island","Stylish Tanzanian journey away from crowds with luxury boutique lodges, baobab trees, and wildlife encounters in less-visited regions.","Tanzania","NA","NA"
"52","African Adventures","Botswana and South Africa Luxury Honeymoon","Okavango Delta, Chobe, Cape Town, Winelands","Embark on a luxury adventure that explores the best of Botswana and South Africa, from the Big Five to acclaimed wines.","Botswana","South Africa","NA"
"53","African Adventures","Wild Botswana","Moremi, Khwai, Chobe","10-day exploration of Botswana's diverse habitats, from savannah to waterways, staying in mobile camps for an authentic safari experience.","Botswana","NA","NA"
"54","African Adventures","Epic Zimbabwe","Mana Pools, Lake Kariba, Hwange National Park","Diverse Zimbabwe experience with big game safaris, fishing, and Victoria Falls, showcasing the country's spectacular wilderness areas.","Zimbabwe","NA","NA"
"55","African Adventures","Highlights of Zambia, South Africa and Mozambique","Victoria Falls, Sabi Sands, Bazaruto Archipelago","Experience the best of Southern Africa, from the thundering Victoria Falls, a big five safari in the Sabi Sands to relaxing on an idyllic beach in Mozambique.","Zambia","South Africa","Mozambique"
"56","African Adventures","Wild Madagascar","Andasibe-Mantadia, Antananarivo, Ranomafana, Isalo, Ifaty","Showcases Madagascar's bizarre wildlife including various lemur species across different national parks with unique landscapes and beach relaxation.","Madagascar","NA","NA"
"57","African Adventures","Honeymoon in Morocco","Marrakech, Atlas Mountains, Oualidia","An enchanting ten-day honeymoon in Morocco blending luxury, cultural discovery, and intimate moments across varied Moroccan landscapes.","Morocco","NA","NA"
"58","African Adventures","Egypt Unveiled","Cairo, Aswan, Nile Cruise, Luxor, Hurghada","Classic tour taking in all Egypt's highlights including Cairo, ancient Luxor, Red Sea coast, and a Nile cruise with private guides and luxury accommodations.","Egypt","NA","NA"
"59","African Adventures","Namibian Desert & Dunes","Sossusvlei, Etosha National Park","Discover the dramatic landscapes of Namibia, from the towering dunes of Sossusvlei to the wildlife-rich Etosha National Park.","Namibia","NA","NA"
"60","Oceania & Pacific","Exceptional Australia and New Zealand","Waiheke Island, Rotorua, Queenstown, Sydney, Whitsundays, Uluru","Epic journey through New Zealand and Australia with once-in-a-lifetime opportunities, sensational scenery, and world-class food and wine.","New Zealand","Australia","NA"
"61","Oceania & Pacific","Australia Honeymoon","Melbourne, Hamilton Island, Sydney, Bouddi Peninsula","Journey from urban Melbourne to the Great Barrier Reef, exploring Sydney and the laid-back Bouddi Peninsula with luxury accommodations throughout.","Australia","NA","NA"
"62","Oceania & Pacific","Ultimate New Zealand","Auckland, Bay of Islands, Queenstown, Milford Sound","Experience the breathtaking landscapes of New Zealand from the subtropical north to the dramatic south, with adventure activities and premium lodges.","New Zealand","NA","NA"
"63","Oceania & Pacific","Fiji Island Paradise","Viti Levu, Matamanoa Island","Experience the ultimate South Pacific escape with pristine beaches, crystal-clear waters, and the warm hospitality of Fiji at exclusive island resorts.","Fiji","NA","NA"
"64","Oceania & Pacific","Cook Islands Retreat","Rarotonga, Aitutaki","Discover the unspoiled beauty of the Cook Islands with private villas, lagoon cruises, and authentic Polynesian culture in this Pacific paradise.","Cook Islands","NA","NA"
"65","Oceania & Pacific","Tahiti Overwater Luxury","Moorea, Bora Bora","Experience the iconic overwater bungalows of French Polynesia with spectacular mountain views, vibrant coral reefs, and unparalleled luxury service.","French Polynesia","NA","NA"
"66","Oceania & Pacific","Samoan Serenity","Upolu, Savai'i","Escape to the untouched beauty of Samoa, with its lush rainforests, pristine beaches, and rich Polynesian culture.","Samoa","NA","NA"
"67","Caribbean & Central America","Ultimate Costa Rica","Central Valley, Arenal, Osa Peninsula, Manuel Antonio","Experience the very best of Costa Rica with verdant coffee plantations, active volcanoes, wildlife-rich jungles and adrenaline-fuelled activities.","Costa Rica","NA","NA"
"68","Caribbean & Central America","Nayara Tented Camp","Arenal, Papagayo Peninsula","Once in a lifetime honeymoon in Costa Rica ideal for wildlife and nature lovers, combining luxury tented accommodations with all-inclusive beach relaxation.","Costa Rica","NA","NA"
"69","Caribbean & Central America","Ultimate Guatemala & Belize","Antigua, Lake Atitlan, Tikal, Mountain Pine Ridge, Cayo Espanto","An adventurous honeymoon through Guatemala and Belize, taking in vibrant cultures, fascinating history and wild jungle, before escaping to a paradisiacal private island.","Guatemala","Belize","NA"
"70","Caribbean & Central America","Ultimate Colombia & Galapagos","Bogota, Medellin, Cartagena, Quito, Galapagos","Takes in the best of Colombia and the enchanting Galapagos Islands, exploring handsome cities and meeting incredible wildlife.","Colombia","Ecuador","NA"
"71","Caribbean & Central America","Caribbean All-Inclusive Luxury","St. Lucia (Jade Mountain and Sandals)","Experience the pinnacle of Caribbean luxury at two distinctive properties on one island, combining architectural marvel with all-inclusive convenience.","St. Lucia","NA","NA"
"72","Caribbean & Central America","St. Lucia Luxury Hideaway","Soufriere, Gros Islet","Features Balinese style oceanfront cottages with pools, luxury suites and swim-up rooms on one of the Caribbean's most beautiful islands.","St. Lucia","NA","NA"
"73","Caribbean & Central America","Sandals Royal Curacao","Curacao","The ideal Caribbean all-inclusive honeymoon on an exotic southern Caribbean island that is hurricane-free during summer and fall months.","Curacao","NA","NA"
"74","Caribbean & Central America","Turks & Caicos Tranquility","Providenciales","Indulge in the pristine beaches and turquoise waters of Turks & Caicos, with luxury beachfront resorts and unparalleled relaxation.","Turks & Caicos Islands","NA","NA"
"75","Caribbean & Central America","Bahamian Bliss","Exuma Cays","Experience the ultimate in secluded luxury in the Bahamas, island hopping through the Exuma Cays, swimming with pigs, and enjoying private beaches.","Bahamas","NA","NA"
"76","Caribbean & Central America","Panama Canal & Rainforest","Panama City, Gamboa","Combine the modern city of Panama with the lush rainforests and the engineering marvel of the Panama Canal.","Panama","NA","NA"
"77","South America","Ultimate Chile","Atacama, Santiago, Lake District, Torres del Paine, Winelands","Takes in Chile's real highlights, including the spectacular Torres del Paine in Patagonia and the rugged Atacama Desert, staying in unique accommodations.","Chile","NA","NA"
"78","South America","Limitless Brazil","Rio, Amazon, Trancoso","An awe-inspiring Brazilian adventure with indulgent luxury, combining buzzing Rio de Janeiro, diverse Amazon rainforest wildlife, and beautiful palm-fringed beaches.","Brazil","NA","NA"
"79","South America","Peru & Galapagos Adventure (continued)","Lima, Sacred Valley, Machu Picchu, Quito, Galapagos","Combine the ancient wonders of Peru with the natural marvels of the Galapagos Islands for a perfect blend of culture and wildlife.","Peru","Ecuador","NA"
"80","South America","Argentina Passion","Buenos Aires, Mendoza, Patagonia","Experience the vibrant culture of Buenos Aires, world-class wines of Mendoza, and the breathtaking landscapes of Patagonia with luxury accommodations.","Argentina","NA","NA"
"81","South America","Ecuadorian Highlands & Amazon","Quito, Otavalo, Amazon Rainforest","Discover the colonial charm of Quito, the indigenous markets of Otavalo, and the incredible biodiversity of the Amazon Rainforest.","Ecuador","NA","NA"
"82","North America & Hawaii","Highlights of California and Hawaii","San Francisco, Kauai, Big Island, Los Angeles","Combines rugged mountains, rainforests, wildlife, waves, beaches, surf, and city experiences across the Golden State and Hawaiian islands.","United States","NA","NA"
"83","North America & Hawaii","Dream Hawaii Island Hopping","Kauai (Poipu Beach), Maui (Kaanapali Beach)","Experience the diverse beauty of Hawaii's most stunning islands, from the dramatic Na Pali Coast to the golden beaches of Maui.","United States","NA","NA"
"84","North America & Hawaii","Uniquely Designed Kauai Honeymoon","North and South Kauai","Combines the North and South of Kauai at the top two luxury resorts, Grand Hyatt Kauai and 1 Hanalei Bay, for a comprehensive island experience.","United States","NA","NA"
"85","North America & Hawaii","Romantic Oahu, Maui and Kauai","Oahu, Maui, Kauai","The ideal three-island honeymoon package for couples who want to see the best of Hawaii with luxury accommodations throughout.","United States","NA","NA"
"86","North America & Hawaii","Luxury Hawaii Honeymoon","Kauai (Grand Hyatt), Maui (Ritz Carlton)","Features paradise in Kauai and seclusion and luxury at the iconic Ritz Carlton in Maui for the ultimate Hawaiian escape.","United States","NA","NA"
"87","North America & Hawaii","California Coast & Wine Country","San Francisco, Napa Valley, Big Sur, Santa Barbara","Drive along the iconic California coast, explore the vineyards of Napa Valley, and enjoy the beauty of Big Sur and Santa Barbara.","United States","NA","NA"
"88","North America & Hawaii","Canadian Rockies & Vancouver Island","Banff, Lake Louise, Victoria, Tofino","Experience the majestic beauty of the Canadian Rockies and the wild Pacific coastline with luxury mountain lodges and seaside resorts.","Canada","NA","NA"
"89","North America & Hawaii","Alaska Wilderness & Luxury","Anchorage, Denali, Kenai Peninsula","Discover the untamed beauty of Alaska with glacier cruises, wildlife viewing, and luxury wilderness lodges for an adventurous honeymoon.","United States","NA","NA"
"90","North America & Hawaii","New York City & Caribbean Escape","New York City, Antigua","Combine the excitement of New York City with the relaxation of a Caribbean beach escape in Antigua.","United States","Antigua and Barbuda","NA"
"91","Caribbean & Central America","Secrets Moxché Luxury","Riviera Maya, Mexico","Set on a pristine strip of white sandy beach, with lavish suites that offer a contemporary experience with an earthy feel including luxurious amenities.","Mexico","NA","NA"
"92","Caribbean & Central America","Ultimate Luxury Secrets Impression","Maya Riviera, Mexico","The perfect honeymoon package for couples seeking a luxury all-suite, all-inclusive, adult-only resort with exceptional service and amenities.","Mexico","NA","NA"
"93","Caribbean & Central America","Romantic All-Inclusive Cabo","Cabo San Lucas, Mexico","Escape to a romantic intimate all-inclusive resort experience at Hyatt Zoetry Casa Del Mar, the perfect luxury Mexico resort for honeymooners.","Mexico","NA","NA"
"94","Caribbean & Central America","Mexico City & Riviera Maya","Mexico City, Tulum, Riviera Maya","Combine the vibrant culture and cuisine of Mexico City with the relaxed luxury and ancient ruins of the Yucatan Peninsula.","Mexico","NA","NA"
"95","European Escapes","Honeymoon in Swedish Lapland","Stockholm, Swedish Lapland","A seven-night journey through Sweden, from culture and chic restaurants in Stockholm to amorous hideaways and spectacular Northern Lights in Swedish Lapland.","Sweden","NA","NA"
"96","European Escapes","Active Dolomites Ski Safari","Dolomites, Northern Italy","Ideal for adventurous skiers who want to experience the grand tour of the Dolomites in style, maximizing time on the slopes with luxury accommodations.","Italy","NA","NA"
"97","European Escapes","Iceland Northern Lights Luxury","Reykjavik, Golden Circle, Troll Peninsula","Experience the otherworldly beauty of Iceland with private hot springs, glacier adventures, and the magical Northern Lights from luxury accommodations.","Iceland","NA","NA"
"98","European Escapes","Finnish Lapland & Helsinki","Helsinki, Lapland","Combine the sophisticated design of Helsinki with the winter wonderland of Lapland, featuring glass igloos, husky sledding, and aurora viewing.","Finland","NA","NA"
"99","European Escapes","Swiss Alps Winter Romance","Zermatt, St. Moritz","A luxurious winter escape to the Swiss Alps, with world-class skiing, cozy chalets, and romantic evenings by the fireplace.","Switzerland","NA","NA"
"100","South America","Galapagos Islands Cruise","Galapagos Islands","A once-in-a-lifetime expedition cruise through the Galapagos Islands, encountering unique wildlife and breathtaking landscapes.","Ecuador","NA","NA"
