Tour_Name,Countries,Duration,Collection,Target_Price_Range,Priority_Score,Strategic_Reason,Status
"Croatian Coast Private Yacht","Croatia",12,"Beach & Relaxation","16000-23000",5,"Ultra Luxury + Private yacht + Fill country","Planned"
"Michelin Stars of France","France",10,"Culture & Elegance","15000-22000",5,"Ultra Luxury + Culinary focus","Planned"
"Japan Kaiseki & Ryokans","Japan",12,"Culture & Elegance","16000-24000",5,"Ultra Luxury + Cultural immersion + Culinary","Planned"
"Sardinia Hidden Gems","Italy",8,"Beach & Relaxation","12000-18000",4,"Ultra Luxury + Mediterranean island","Planned"
"Formentera & Ibiza Luxury","Spain",7,"Beach & Relaxation","10000-15000",4,"Ultra Luxury + Mini Moon + Islands","Planned"
"Mykonos Private Villa","Greece",7,"Beach & Relaxation","12000-18000",5,"Ultra Luxury + Mini Moon + Private accommodation","Planned"
"California Wine Country Drive","USA",12,"Road Trips","10000-15000",4,"Road Trip + Wine focus","Planned"
"Oregon Coast to Mountains","USA",10,"Road Trips","8000-12000",4,"Road Trip + Nature focus","Planned"
"Australian Great Ocean Road","Australia",14,"Road Trips","12000-18000",4,"Road Trip + Coastal beauty","Planned"
"New Zealand South Island Loop","New Zealand",12,"Road Trips","10000-15000",4,"Road Trip + Adventure","Planned"
"Norwegian Fjords Drive","Norway",10,"Road Trips","9000-13000",4,"Road Trip + Scenic beauty","Planned"
"Italian Riviera to Tuscany","Italy",12,"Road Trips","9000-13000",4,"Road Trip + Classic route","Planned"
"South African Garden Route","South Africa",10,"Road Trips","7000-11000",4,"Road Trip + Wildlife combo","Planned"
"Thailand-Vietnam-Cambodia","Thailand,Vietnam,Cambodia",16,"Adventure & Discovery","10000-15000",5,"Multi-country + Southeast Asia combination","Planned"
"Kenya-Tanzania-Rwanda","Kenya,Tanzania,Rwanda",14,"Safari & Wildlife","12000-18000",5,"Multi-country + East Africa safari combo","Planned"
"Italy-Greece-Spain","Italy,Greece,Spain",18,"Culture & Elegance","14000-20000",4,"Multi-country + Southern Europe combo","Planned"
"Germany-Switzerland-Austria","Germany,Switzerland,Austria",14,"Culture & Elegance","11000-16000",5,"Multi-country + Central Europe + Road Trip elements","Planned"
"Croatia-Slovenia-Montenegro","Croatia,Slovenia,Montenegro",12,"Adventure & Discovery","9000-14000",4,"Multi-country + Balkans combination","Planned"
"Costa Rica-Panama-Guatemala","Costa Rica,Panama,Guatemala",15,"Adventure & Discovery","9000-14000",4,"Multi-country + Central America combo","Planned"
"Tanzania-Seychelles","Tanzania,Seychelles",12,"Safari & Wildlife","16000-24000",5,"Multi-country + Safari & Beach combo + Ultra Luxury","Planned"
"Australia-New Zealand-Tahiti","Australia,New Zealand,French Polynesia",21,"Adventure & Discovery","18000-26000",5,"Multi-country + Oceania grand tour + Ultra Luxury","Planned"
"Hawaii-Japan Cultural","USA,Japan",14,"Culture & Elegance","12000-18000",4,"Multi-country + Pacific crossing + Cultural focus","Planned"
"Mauritius Paradise","Mauritius",10,"Beach & Relaxation","9000-14000",5,"New destination + Island paradise + Fill market gap","Planned" 
