tour_code,main_country,region,tour_name,duration,tags
EUR001,Italy,Europe,"Eternal Romance: Venice, Florence & Amalfi Coast",14 days,"cultural, historic, scenic, foodie"
EUR002,Italy,Europe,"Tuscan Villages & Cinque Terre Coastal Charm",11 days,"cultural, foodie, scenic, relax"
EUR003,Italy,Europe,"Sicily & Aeolian Islands Mediterranean Odyssey",12 days,"cultural, beach, historic, foodie"
EUR004,Italy,Europe,"Lake Como & Italian Alps Elegance",10 days,"scenic, luxury, relax, adventure"
EUR005,Greece,Europe,"Aegean Idyll: Athens, Santorini & Mykonos",11 days,"cultural, beach, historic, relax"
EUR006,Greece,Europe,"Grecian Odyssey: Ancient Athens & Cyclades Islands",13 days,"cultural, beach, historic, foodie"
EUR007,Greece,Europe,"Crete & Rhodes: Greek Island Adventure",12 days,"cultural, beach, hiking, foodie"
EUR008,Spain,Europe,"Andalusian Passion: Seville, Granada & Costa del Sol",11 days,"cultural, beach, historic, foodie"
EUR009,Spain,Europe,"Barcelona & Balearic Islands: Catalan Coast Journey",12 days,"cultural, beach, foodie, scenic"
EUR010,France,Europe,"Parisian Romance & Côte d'Azur Radiance",12 days,"cultural, luxury, foodie, scenic"
EUR011,France,Europe,"Loire Valley Châteaux & Bordeaux Wine Country",10 days,"cultural, foodie, historic, wine"
EUR012,France,Europe,"Corsican Coastal Splendor & Lavender Fields of Provence",13 days,"scenic, beach, cultural, foodie"
EUR013,Portugal,Europe,"Portuguese Passion: Lisbon, Algarve & Douro Valley",11 days,"cultural, beach, wine, foodie"
EUR014,Portugal,Europe,"Azores Adventure & Madeira Luxury Retreat",13 days,"adventure, scenic, hiking, wildlife"
EUR015,Croatia,Europe,"Adriatic Jewels: Dubrovnik, Split & Hvar Island-Hopping",10 days,"cultural, beach, historic, scenic"
EUR016,Iceland,Europe,"Fire & Ice: Iceland's South Coast & Golden Circle",8 days,"adventure, scenic, hiking, natural wonder"
EUR017,Iceland,Europe,"Midnight Sun & Northern Lights: Iceland's Seasonal Magic",10 days,"adventure, scenic, natural phenomenon, wildlife"
EUR018,Switzerland,Europe,"Alpine Luxury: Swiss Mountain & Lake Grandeur",9 days,"scenic, adventure, luxury, hiking"
EUR019,Norway,Europe,"Norwegian Fjords & Arctic Circle Expedition",12 days,"adventure, scenic, wildlife, natural wonder"
MID001,United Arab Emirates,Middle East,"Arabian Luxury: Dubai Skyscrapers & Desert Oasis Retreat",8 days,"luxury, desert, adventure, cultural"
MID002,Jordan,Middle East,"Ancient Wonders: Petra, Wadi Rum & Dead Sea Journey",10 days,"historic, adventure, scenic, cultural"
MID003,Oman,Middle East,"Omani Treasures: Muscat, Wadis & Salalah Beaches",11 days,"cultural, beach, adventure, scenic"
MID004,Turkey,Middle East,"Ottoman Splendor: Istanbul & Cappadocia Balloon Adventure",9 days,"cultural, historic, adventure, scenic"
MID005,Turkey,Middle East,"Turkish Riviera & Ancient Ruins: Bodrum to Antalya",12 days,"beach, cultural, historic, scenic"
MID006,Israel,Middle East,"Holy Land & Red Sea: Jerusalem to Eilat Journey",10 days,"cultural, historic, beach, diving"
NAM001,United States,North America,"Hawaiian Island Paradise: Maui & Kauai Romance",12 days,"beach, adventure, scenic, relax"
NAM002,United States,North America,"Alaskan Wilderness & Glacier Bay Expedition",10 days,"adventure, wildlife, scenic, cruise"
NAM003,United States,North America,"California Dreaming: Napa Valley to Big Sur Coastal Journey",11 days,"scenic, foodie, wine, beach"
NAM004,United States,North America,"Grand Canyon, Antelope Canyon & Monument Valley Adventure",9 days,"adventure, scenic, natural wonder, hiking"
NAM005,United States,North America,"Rocky Mountains to Red Rocks: Colorado Adventure",10 days,"adventure, hiking, scenic, wildlife"
NAM006,Canada,North America,"Rocky Mountain Majesty: Banff, Lake Louise & Jasper",10 days,"scenic, wildlife, hiking, adventure"
NAM007,Canada,North America,"Eastern Canada: Quebec's Old World Charm & Maritime Coast",12 days,"cultural, scenic, foodie, historic"
NAM008,Mexico,North America,"Riviera Maya & Yucatan Peninsula: Beaches & Mayan Ruins",11 days,"beach, cultural, historic, diving"
NAM009,Mexico,North America,"Baja California & Sea of Cortez Marine Adventure",9 days,"adventure, wildlife, diving, scenic"
NAM010,Costa Rica,North America,"Pura Vida Paradise: Arenal Volcano, Cloud Forest & Manuel Antonio",12 days,"adventure, wildlife, beach, scenic"
CAR001,Saint Lucia,Caribbean,"Pitons & Palms: Saint Lucia's Volcanic Luxury",9 days,"beach, scenic, luxury, hiking"
CAR002,Jamaica,Caribbean,"Blue Mountain & Negril's Seven Mile Beach",8 days,"beach, cultural, relax, adventure"
CAR003,Barbados,Caribbean,"Platinum Coast & Tropical Gardens: Barbados Elegance",8 days,"beach, luxury, cultural, foodie"
CAR004,Antigua and Barbuda,Caribbean,"365 Beaches: Antigua's Island Paradise",7 days,"beach, luxury, relax, sailing"
CAR005,Dominica,Caribbean,"Nature Island Expedition: Dominica's Untouched Beauty",9 days,"adventure, hiking, wildlife, scenic"
SAM001,Peru,South America,"Sacred Valley & Machu Picchu: Incan Heritage Journey",11 days,"cultural, historic, adventure, scenic"
SAM002,Peru,South America,"Amazon Rainforest & Cusco Cultural Exploration",13 days,"adventure, wildlife, cultural, scenic"
SAM003,Argentina,South America,"Patagonian Romance: Perito Moreno Glacier & Los Glaciares",12 days,"adventure, scenic, hiking, natural wonder"
SAM004,Argentina,South America,"Mendoza Wine Country & Buenos Aires Passion",10 days,"cultural, foodie, wine, scenic"
SAM005,Argentina,South America,"Iguazu Falls & Ibera Wetlands: Argentina's Natural Wonders",11 days,"natural wonder, wildlife, adventure, scenic"
SAM006,Brazil,South America,"Amazonian Adventure & Fernando de Noronha Island Paradise",14 days,"adventure, beach, wildlife, diving"
SAM007,Brazil,South America,"Iguazu Falls & Rio de Janeiro: Brazil's Icons",10 days,"cultural, natural wonder, beach, scenic"
SAM008,Chile,South America,"Atacama Desert to Torres del Paine: Chile's Extremes",15 days,"adventure, scenic, hiking, natural wonder"
SAM009,Chile,South America,"Wine & Wilderness: Santiago, Wine Valley & Lake District",11 days,"foodie, wine, scenic, cultural"
SAM010,Ecuador,South America,"Galapagos Wildlife Expedition & Andean Cloud Forest",13 days,"wildlife, adventure, diving, natural wonder"
SAM011,Colombia,South America,"Colombian Charm: Cartagena, Tayrona & Coffee Region",12 days,"cultural, beach, scenic, foodie"
SAM012,Bolivia,South America,"Uyuni Salt Flats & Lake Titicaca Adventure",10 days,"adventure, scenic, cultural, natural wonder"
MCE001,Multi-Country,Europe,"Mediterranean Majesty: Italian & Greek Islands",21 days,"cultural, beach, historic, foodie"
MCE002,Multi-Country,Europe,"Alpine Adventure: Switzerland, France & Italy Mountain Romance",18 days,"adventure, scenic, luxury, hiking"
MCE003,Multi-Country,Europe,"Iberian Passion: Spain & Portugal Cultural Expedition",20 days,"cultural, historic, foodie, scenic"
MCE004,Multi-Country,Europe,"Northern Lights & Fjords: Norway, Sweden & Finland",21 days,"adventure, natural phenomenon, scenic, wildlife"
MCE005,Multi-Country,Europe,"Mediterranean Islands: Sardinia, Corsica & Malta",18 days,"beach, cultural, historic, foodie"
MCE006,Multi-Country,Europe,"Cultural Capitals: Paris, Amsterdam & Berlin",19 days,"cultural, historic, luxury, foodie"
MCA001,Multi-Country,Asia,"Southeast Asian Splendor: Thailand, Vietnam & Cambodia",21 days,"cultural, beach, historic, foodie"
MCA002,Multi-Country,Asia,"Himalayan Heights: Nepal, Bhutan & India Mountain Journey",23 days,"adventure, cultural, hiking, spiritual"
MCA003,Multi-Country,Asia,"Japan & South Korea: Ancient Traditions & Modern Marvels",20 days,"cultural, historic, foodie, scenic"
MCA004,Multi-Country,Asia,"Island Paradise: Bali, Lombok & Komodo",18 days,"beach, adventure, wildlife, diving"
MCA005,Multi-Country,Asia,"Silk Road Luxury: Uzbekistan, Kyrgyzstan & Kazakhstan",22 days,"cultural, historic, adventure, scenic"
MCS001,Multi-Country,Africa,"East African Safari: Kenya & Tanzania Wildlife Adventure",21 days,"safari, wildlife, adventure, scenic"
MCS002,Multi-Country,Africa,"Southern African Grandeur: South Africa, Botswana & Zimbabwe",24 days,"safari, luxury, wildlife, adventure"
MCS003,Multi-Country,Africa,"African Islands: Seychelles, Mauritius & Madagascar",23 days,"beach, luxury, wildlife, diving"
MCS004,Multi-Country,Africa,"West African Heritage: Senegal, Gambia & Ghana",20 days,"cultural, historic, beach, wildlife"
MCSA001,Multi-Country,South America,"Andean Explorer: Peru, Bolivia & Chile Highland Journey",22 days,"adventure, cultural, scenic, hiking"
MCSA002,Multi-Country,South America,"Iguazu & Beyond: Argentina & Brazil Natural Wonders",18 days,"natural wonder, cultural, wildlife, scenic"
MCSA003,Multi-Country,South America,"Patagonia Explored: Chile & Argentina's Wilderness",21 days,"adventure, hiking, scenic, wildlife"
MCSA004,Multi-Country,South America,"Galapagos & Amazon: Ecuador & Peru Natural Wonders",23 days,"wildlife, adventure, natural wonder, diving"
MCSA005,Multi-Country,South America,"Wine Lovers Journey: Argentina & Chile Vineyards",19 days,"wine, foodie, cultural, scenic"
MCO001,Multi-Country,Oceania,"South Pacific Paradise: Australia, New Zealand & Fiji",25 days,"adventure, beach, scenic, wildlife"
MCO002,Multi-Country,Oceania,"Island Hopping Adventure: Fiji, Samoa & Cook Islands",21 days,"beach, cultural, diving, adventure"
MCO003,Multi-Country,Oceania,"Australia & Tasmania: From Outback to Island",20 days,"adventure, wildlife, scenic, foodie"
MCM001,Multi-Country,Middle East,"Ancient Civilizations: Egypt, Jordan & Israel",22 days,"cultural, historic, adventure, scenic"
MCM002,Multi-Country,Middle East,"Persian Gulf Luxury: UAE, Oman & Qatar",19 days,"luxury, cultural, beach, desert"
MCW001,Multi-Country,World Tour,"Global Romantic Odyssey: Seven Wonders Honeymoon Tour",30 days,"cultural, adventure, luxury, iconic"
MCW002,Multi-Country,World Tour,"Island Paradise World Tour: Maldives, Seychelles & Caribbean",24 days,"beach, luxury, diving, relaxation"
MCW003,Multi-Country,World Tour,"UNESCO World Heritage Journey: Europe, Asia & Americas",28 days,"cultural, historic, iconic, scenic"
MCW004,Multi-Country,World Tour,"World Capitals & Natural Wonders: London, Paris, Rome, Bangkok & Sydney",26 days,"cultural, iconic, adventure, urban"
